Awareness Overtime,Awareness Total,,Awareness Impact TP1,Awareness Impact TP2,Awareness Impact TP3,Awareness Impact TP4,Awareness Impact TP5,Awareness Impact TP6,Awareness Impact TP7,Discussion Heat Impact TP1,Discussion Heat Impact TP2,Discussion Heat Impact TP3,Discussion Heat Impact TP4,Discussion Heat Impact TP5,Discussion Heat Impact TP6,Discussion Heat Impact TP7,,,,,,,,,,
51.372493185,44.5941394526,,0.668088178,0.4110438634,0.1060445107,0.6022853015,0.4906558746,0.9273793403,0.3873063401,0.093797099,0.6355288217,0.8457283135,0.023194036,0.4646832207,0.0368493322,0.3034754523,0.4164907027,0.7282258467,0.4297004579,0.2634714252,0.2646447582,0.092980803,0.724876916,0.9660068844,0.257833177,0.9886121153
47.9456659548,44.1968671967,,0.0455679689,0.376171555,0.4785025465,0.5306084655,0.3842347455,0.449382928,0.2228779309,0.5284043419,0.432690954,0.9841580886,0.8252798656,0.9783423125,0.5143727894,0.8087410915,0.2076930788,0.3510776268,0.7050099791,0.0569876506,0.2998800856,0.8824398363,0.166386767,0.3289477163,0.1794362679,0.5074305106
44.3774099297,35.2673516509,,0.4376081843,0.6028756389,0.766533368,0.0389499214,0.9292633383,0.8679369438,0.1747000704,0.6860097849,0.1481041692,0.5806691972,0.3668406729,0.0306034993,0.2433347194,0.2132943287,0.594793276,0.1380685591,0.3103323424,0.3582680056,0.2110815925,0.5626909634,0.5135989942,0.0809912852,0.8331147796,0.6284644945
68.3710525943,47.1227142509,,0.4979673322,0.4713989058,0.5129429501,0.5143326124,0.7455625636,0.6351767009,0.5197756295,0.3539041375,0.5057483397,0.6866511526,0.5778237854,0.7715484612,0.676260491,0.6579318805,0.9186261471,0.0199397334,0.5459599039,0.6226776731,0.3048733791,0.1585336504,0.6231117121,0.7478952526,0.261843989,0.5181247284
46.0368983154,31.9750787012,,0.8678252382,0.4334695351,0.112918508,0.0335455784,0.5232646678,0.1766627689,0.0572393697,0.8947342293,0.3974684038,0.3076091047,0.4504358166,0.3658092164,0.8860900381,0.2818705427,0.6534340978,0.5524565469,0.2461017258,0.7874085936,0.2997262357,0.3598465611,0.6314767086,0.5258658868,0.5980700705,0.8764623977
52.4446744465,51.185743925,,0.1840942354,0.1618401546,0.3354470864,0.9436368993,0.036587133,0.5988728857,0.5742040946,0.7262575104,0.4285781155,0.4371635183,0.647658286,0.6870137143,0.2637285005,0.1955589703,0.9500447622,0.4847254426,0.3422485979,0.6391580074,0.1895391676,0.9667046171,0.191995878,0.3439084435,0.2271880327,0.6057664208
165.3717743295,123.260695773,,0.8910142831,0.4508643182,0.3599318586,0.4444208242,0.5253433997,0.4153095786,0.9225075081,0.8519387337,0.9581536659,0.4397433149,0.3808674248,0.1744019181,0.3997402199,0.1947612946,0.6688557209,0.663508664,0.8626341588,0.3781571452,0.3802315094,0.9068226737,0.9620669655,0.6401055892,0.5697328454,0.35031551
212.2625949064,161.8579578182,,0.6792501948,0.4110796164,0.3397249924,0.4034677663,0.6434092168,0.2091921569,0.0930788,0.0478577643,0.2082362015,0.0749417898,0.3182766931,0.8320809301,0.0994042529,0.8838816219,0.0393451006,0.6290066962,0.6920111109,0.4215189791,0.6110636328,0.5557945091,0.0402972569,0.2697929236,0.3690030213,0.0127536052
39.1638418776,22.004220142,,0.6267103084,0.7507655503,0.7542957083,0.884046141,0.4233632063,0.4007020833,0.9246436694,0.5613971052,0.2661615421,0.7065038813,0.5359206745,0.6013880612,0.7303506978,0.126497704,0.3328268813,0.5075765193,0.6659608856,0.738873229,0.4224057714,0.3405961613,0.3026042237,0.213600169,0.6208347623,0.6025577826
116.6142838741,86.4161226357,,0.3653050265,0.1874455105,0.0617523198,0.1164843293,0.9565205434,0.5367501396,0.3334863377,0.4271779409,0.0542362204,0.4889134572,0.7728994486,0.5868307038,0.3519961965,0.9910732786,0.1851693986,0.0568547234,0.8239560127,0.2632580796,0.1816731512,0.856821959,0.8365215567,0.003326793,0.5322459424,0.0220671217
