0.0 242.4286823911285 ;1.0 1.0 1.0 1.0 1.0 
0.9399567378607302 241.77991863934082 ;1.0 0.9819231420049952 0.7900445690503628 1.0 0.9993176170095762 
0.9478342863531691 240.01041685148428 ;0.9716621657556357 0.9457776047548507 0.9525695490114197 1.0 1.0 
0.9776615805977034 239.6608953166913 ;0.9605440194806594 1.0 0.949160777693823 0.9784933164035455 0.9967028430508678 
0.9845468397656338 239.48050350865518 ;1.0 1.0 0.8893890572228238 1.0 1.0 
0.9916485082711534 238.25913057558887 ;0.99055226892007 0.9685865292486714 0.9920136842241747 1.0 0.9671695880196297 
1.0493976743133326 238.0053337766184 ;0.9204017979289078 0.9780530920317119 0.7829172554775891 1.0 1.0 
1.0595252702375917 237.67398092778308 ;0.9275212215865414 0.9771997096334738 0.917427611576465 1.0 1.0 
1.066828668959217 237.0904052668687 ;1.0 0.9438833002474589 0.9127912899229124 0.9822924240928701 0.9329060955235747 
1.104578336470024 236.37208031854254 ;0.9122639428772682 0.9338526236338899 0.9400981316552486 0.9200452218161358 0.9897824935430058 
1.128495802094853 235.47445870395893 ;0.8855853401047602 1.0 0.7787304088460765 1.0 1.0 
1.192512993161882 235.01346356788392 ;0.8554585962436805 0.9864940275554474 0.7707073326541842 0.9962084480741512 0.9659977026866153 
1.2159930552652924 234.9162755988921 ;0.8218193199709556 1.0 0.9895249197009857 1.0 1.0 
1.2502994572400818 234.79372267401837 ;0.8432305426709976 0.986389434157559 0.8603005090666912 1.0 1.0 
1.2751019886390658 233.7313131161175 ;0.7884357405342989 1.0 0.9796343779926321 1.0 1.0 
1.2874547609628222 233.66776066888258 ;0.8608340242765422 0.6658095497732821 0.9996019190132256 0.969160195298514 1.0 
1.2878160308762683 233.02718985156372 ;0.7564493144921653 0.9874518004828754 0.9975321787085694 1.0 1.0 
1.3477091372543062 232.99356895695337 ;0.7706321218732852 1.0 1.0 0.9151391579208801 1.0 
1.3922381947023073 232.56068903253149 ;0.7941484893920173 0.9438833002474589 0.9898118353167707 0.9782724466135383 0.9840416526473765 
1.4291578046604916 230.7856394759379 ;0.7988669802059266 0.8331233019552952 0.9938021347766578 0.9420694402484553 0.9429652998777841 
1.535940539447957 229.761819443916 ;0.7907074853523008 1.0 0.6595109373984738 0.9914886846441415 0.9405660006073627 
1.6422286448664905 229.71797682837936 ;0.752732384292761 0.9529949604015117 0.5580972487618479 0.8660571337739635 0.9912798036733053 
1.6910401630300187 228.72527402607733 ;0.6380102077573743 1.0 0.9333516759439613 1.0 1.0 
1.6915471762594558 228.26229356399506 ;0.6825940067256941 1.0 0.5054282714313585 0.9639331259514038 1.0 
1.7868046515437994 227.9020517906929 ;0.6083610049284578 1.0 0.8403645131760242 1.0 1.0 
1.8411235633076184 227.049356450383 ;0.5988901048966704 0.969016688828767 0.892397590167539 0.9937464883280159 1.0 
1.9849767390539685 225.7395493588573 ;0.5346997089275339 1.0 0.9482594684066881 0.9928614224832611 0.9468854423437167 
2.0293297019353895 224.92996622117784 ;0.5275828846440337 1.0 0.8626777488681148 1.0 1.0 
2.2150670619362827 224.48159878202924 ;0.5015177239681516 0.9732174584180697 0.9686733521017342 0.9416967391993821 1.0 
2.223097144525282 223.29113037195197 ;0.48787558982578316 0.9674428662297175 0.9273147157533826 1.0 0.9518876928291696 
2.374905159259387 222.54937726873501 ;0.48194110653711186 0.960066453889597 0.8721590389202879 1.0 0.9398576159469545 
2.4198742989836934 221.73842438323453 ;0.4733433704048032 0.9749682578515291 0.8226845343098176 0.9968709882422403 0.9624810481478361 
2.5690371164856147 220.91201804642841 ;0.45168517119708185 0.9950712510144367 0.8059944542553028 1.0 0.9923661554153386 
2.5871161010287738 220.62036223598568 ;0.41775795840781477 0.9776800363724126 0.9581556380423606 1.0 0.9969944663918998 
2.600115174642251 219.40442787241804 ;0.4218597227834202 0.9570617833692998 1.0 0.9633813953830719 0.9991767446688682 
2.696458817042836 219.22155999417552 ;0.444813345574549 0.9747462175106395 1.0 1.0 0.8573123707843405 
2.717557998961645 217.80962581431834 ;0.41436849204426374 0.9524084984378982 0.9953273719350035 1.0 0.9310295398663908 
2.8944347950267493 217.80172170595168 ;0.4222211311230475 0.9962256845713513 0.967278767779037 0.9437166996936031 0.8795918325387035 
2.9278962066273735 216.85582867595465 ;0.39251293305834245 0.9882916130704242 0.8708850970503909 0.9377614088661957 0.9936580227619867 
3.0189223719816516 216.4917367835577 ;0.3668022566414969 0.9999260132316913 0.7394654926287042 1.0 1.0 
3.077047730590767 215.72278387655436 ;0.36222772241148454 0.9350950419581611 0.6951747156781773 1.0 1.0 
3.2278998446136105 215.38324563747344 ;0.3384729555880723 0.9967361712792837 1.0 1.0 0.9372758102114576 
3.2459800221324806 214.66931556915972 ;0.36090731116424246 0.9965169258380681 0.9955200641174052 0.9838232616312614 0.8792922033678127 
3.3001380375608727 213.93581346762508 ;0.36110432213919724 0.9996781049437977 0.9778859869462009 0.9996499135544584 0.8762945016535364 
3.3891000119765033 213.7979845419663 ;0.3755052170165471 1.0 0.9400713299692299 0.9710524231147108 0.8304299702518276 
3.406674677790866 213.4052905797901 ;0.3258828309521663 0.9998893847874051 1.0 0.9528883139493509 0.9927882831615794 
3.4336938874634364 213.10591221632512 ;0.3610279778126373 0.9972764679381935 0.8667923774427184 1.0 0.8831802916828851 
3.4764875071350057 212.92813999979376 ;0.3187366558391671 0.9565612001449285 0.8085030614696647 1.0 0.9838142331760824 
3.5339462873291425 211.8693910341664 ;0.3019991933694499 0.9380879822730009 0.944465206368855 1.0 0.9907353091865744 
3.683386120969563 211.37770590094996 ;0.3179938431269094 0.9776098441550704 0.829786857545779 0.9547926157789867 0.9322844325752417 
3.7966291291665346 209.5886520896724 ;0.3160513643401554 0.9619558400307964 1.0 1.0 0.8700453492429231 
3.937860877075255 209.532151851454 ;0.2922082428033802 0.9950054299264967 0.5340684083099864 1.0 0.9228950695567145 
3.9545420510142577 209.3174649213805 ;0.28698794308140096 1.0 0.8897893066909078 0.8932353670739629 0.9746262516157005 
3.9681226447156055 208.16603411136757 ;0.27302305021235085 1.0 0.7478501090953141 1.0 0.9647758278881096 
4.08040861735254 207.8767545871104 ;0.24899733182827108 0.9993736063999825 0.8272453411346984 1.0 1.0 
4.258501371685666 207.07723557841356 ;0.24664053714691483 0.9489868943090717 0.9403735844622544 0.9602433541691319 1.0 
4.32590392971146 205.88434986967258 ;0.22704214461369832 0.9794063904852615 0.7799675108339761 1.0 0.9984171175602994 
4.433905181960045 205.81212550484344 ;0.24972856930425186 0.9608000061819921 0.8012751488440937 1.0 0.898485466394144 
4.472008869851852 205.64435833247734 ;0.21400523045342795 1.0 0.9806122400407548 1.0 0.9946540110938642 
4.476649110094088 205.29518723697353 ;0.25256618566493877 0.9981140003620063 0.91711254783574 0.9873267002670255 0.8618144697511154 
4.505319073893286 205.16202975808744 ;0.23911641364751865 0.9454764989944427 0.9447351707441197 0.9888721691270522 0.9416732220079003 
4.527836052959162 204.49855401365474 ;0.24941370924122858 0.9861605032257881 0.8378664396208683 0.7478688152058085 1.0 
4.67713645974576 203.55369322834457 ;0.20958846483047938 0.9968581441225155 0.781712326168926 0.9988277589315964 0.9593894242012901 
4.828536723051284 203.14396566788412 ;0.22426658818421868 0.9401430614225446 0.9969325522928062 0.919985901073501 0.8918430622214215 
4.9733458541256965 202.66349242098357 ;0.2211662406922823 0.9438821643218435 0.8156048925500077 1.0 0.864100187439801 
4.998638260091649 202.32817833994395 ;0.237920294893674 0.9979949061639141 0.9971504802992448 0.9257806192571495 0.8057325044262071 
5.021787250855686 201.77091797640963 ;0.21151233565513727 0.9976268150555163 0.9019847593283059 0.9763217104333339 0.834835346868747 
5.153555376879758 201.36841507166 ;0.2211662406922823 0.8212165481221294 0.8156048925500077 1.0 0.864100187439801 
5.161940783665917 201.1582130663557 ;0.1951727764301901 0.8275757340904715 0.7842284955329645 1.0 0.9397600331400148 
5.180904939640836 201.07223752472515 ;0.19952766505073577 1.0 0.6252120350355586 0.8896374342789948 0.9425874639821553 
5.224431774297458 200.88617381437 ;0.1922752438759502 1.0 0.9051879094045214 1.0 0.9141651674921685 
5.301531501491581 200.14905259785957 ;0.17026100132395872 0.9639207582242383 0.9790137000307781 0.90778129570922 1.0 
5.3219871400236 199.77988831842998 ;0.21327801115735415 0.982880485853091 1.0 0.9543615924566553 0.7580481602202004 
5.3524920929424695 199.562406424624 ;0.1750982238338793 0.9842576213840716 0.8034597732205341 1.0 0.9098600609878853 
5.530988045902247 199.0715465707363 ;0.1669312528809011 0.9969477769074523 0.9231289210667385 1.0 0.9261642841337636 
5.560674996020608 198.43741465189356 ;0.18330672595604366 0.9988364289444649 0.765055039109293 0.9821151970859552 0.8749126925757983 
5.607848065881407 197.50892041469785 ;0.14944717093962215 0.99129500118875 0.90602819272655 0.945436712170942 1.0 
5.723655382465892 197.44997775977905 ;0.24164935381238362 0.9718137979768632 1.0 0.36757015276975924 1.0 
5.773704845931543 196.43830351380615 ;0.16898542303781242 0.9798826325270997 0.661302097918422 1.0 0.8646205897529988 
5.845857163270795 196.11094755633283 ;0.15414823700597768 0.9896090982279104 0.9887586448336698 0.9955641759578858 0.8780561398906526 
6.066386049490395 194.959498210404 ;0.15611301215555015 1.0 1.0 1.0 0.8070322662264502 
6.073150422156894 194.771072472575 ;0.16989126969096846 0.9769184890214518 0.8982212441865579 0.8143396551661096 0.8517217155682183 
6.137610735035246 194.1191155117932 ;0.16180902073040582 0.996984961771198 0.9312048335234442 0.932302729604151 0.7986358230367789 
6.321353785990647 194.0046798690733 ;0.1476749754264588 0.9928402466903107 0.9894178526602473 0.8534888498120526 0.8503750957173205 
6.390448758909363 193.9403636712043 ;0.17599503537479574 1.0 0.9464095331876852 0.8434722275369178 0.7078628443161797 
6.438462560929587 193.52804136787205 ;0.12788574596492144 0.9982688364689213 0.9344326667355972 0.9780401606318991 0.8468327211207403 
6.572912266943455 192.4427664509512 ;0.1314925694720014 0.9653167443656726 0.5987289891636643 1.0 0.8526339483474376 
6.615020365660788 192.34796894377604 ;0.11940131883758534 0.9266306079257105 1.0 0.7204835981830906 1.0 
6.686123487699402 191.78618469222394 ;0.2698739177934173 0.992508496938106 0.943023232133648 0.17802642839789568 1.0 
6.814215261621467 191.08676827645846 ;0.39885302878049333 0.9995821973423937 1.0 0.0 1.0 
6.857440319272553 191.08393879258156 ;0.13087041010933154 0.9995569026544198 0.9412880757569441 1.0 0.718492862773535 
